RECORDID,PERS_N,J_0_6_P,J_7_15_P,J_16_19_P,J_20_24_P,J_25_44_P,J_45_64_P,J_65_79_P,J_80PLUS_P,ALTERSQUOT,JUGENDQUOT,GESAMTQUOT,MANN_N,FRAU_N,FRAU_P,SCHWEIZ_N,AUSLAND_N,AUSLAND_P,FLAECHE_HA,DICHTE_PHA,STICHTAG,E,N
1418355,6,0,33.3,0,0,33.3,0,33.3,0,100,100,200,-999,-999,-999,-999,-999,-999,1,6,20230630,2670450,1260850
1415098,5,0,0,20,20,0,20,40,0,100,50,150,-999,-999,-999,-999,-999,-999,1,5,20230630,2671150,1256950
1439914,8,37.5,0,0,0,37.5,12.5,12.5,0,25,75,100,-999,-999,-999,-999,-999,-999,1,8,20230630,2671050,1257350
1422368,11,0,27.3,0,0,54.5,0,9.1,9.1,33.3,50,83.3,7,4,36.4,-999,-999,-999,1,11,20230630,2671350,1250550
1415441,7,28.6,0,0,0,71.4,0,0,0,0,40,40,-999,-999,-999,-999,-999,-999,1,7,20230630,2671250,1251450
1442741,9,0,22.2,0,0,22.2,11.1,22.2,22.2,133.3,66.7,200,5,4,44.4,-999,-999,-999,1,9,20230630,2671250,1257250
1414435,21,9.5,9.5,0,9.5,19,28.6,0,23.8,41.7,33.3,75,13,8,38.1,-999,-999,-999,1,21,20230630,2671550,1250350
1423237,31,9.7,16.1,0,0,25.8,16.1,12.9,19.4,76.9,61.5,138.5,15,16,51.6,-999,-999,-999,1,31,20230630,2671650,1250450
1419414,30,3.3,3.3,3.3,10,16.7,30,30,3.3,58.8,17.6,76.5,16,14,46.7,22,8,26.7,1,30,20230630,2671650,1256750
1427527,27,0,0,0,3.7,18.5,59.3,18.5,0,22.7,0,22.7,15,12,44.4,16,11,40.7,1,27,20230630,2671650,1256950
1427750,16,0,0,0,6.3,50,25,12.5,6.3,23.1,0,23.1,12,4,25,8,8,50,1,16,20230630,2671450,1257350
1427292,21,0,0,14.3,4.8,14.3,33.3,23.8,9.5,63.6,27.3,90.9,9,12,57.1,17,4,19,1,21,20230630,2671450,1257450
1446035,30,6.7,16.7,3.3,3.3,13.3,16.7,36.7,3.3,120,80,200,14,16,53.3,-999,-999,-999,1,30,20230630,2671450,1257550
1435293,22,13.6,4.5,9.1,13.6,31.8,13.6,9.1,4.5,23.1,46.2,69.2,9,13,59.1,-999,-999,-999,1,22,20230630,2671650,1257550
1443239,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2671850,1249950
1412434,64,3.1,7.8,3.1,3.1,32.8,29.7,17.2,3.1,31,21.4,52.4,33,31,48.4,38,26,40.6,1,64,20230630,2671750,1250450
1416302,205,9.3,12.7,2.9,7.3,28.8,27.3,5.4,6.3,18.5,39.2,57.7,98,107,52.2,107,98,47.8,1,205,20230630,2671950,1250650
1417290,164,12.2,11.6,0.6,2.4,33.5,23.8,8.5,7.3,26.5,40.8,67.3,85,79,48.2,81,83,50.6,1,164,20230630,2671950,1250850
1412057,134,10.4,9,2.2,1.5,26.9,23.9,14.2,11.9,50,41.4,91.4,74,60,44.8,86,48,35.8,1,134,20230630,2671950,1250950
1435508,161,9.3,9.3,6.8,6.8,34.8,23.6,6.8,2.5,14.3,39,53.3,85,76,47.2,38,123,76.4,1,161,20230630,2671950,1251250
1446406,16,0,0,0,6.3,31.3,37.5,18.8,6.3,33.3,0,33.3,8,8,50,-999,-999,-999,1,16,20230630,2671950,1253850
1436719,21,4.8,9.5,4.8,9.5,23.8,33.3,4.8,9.5,21.4,28.6,50,7,14,66.7,-999,-999,-999,1,21,20230630,2671850,1253950
1438601,6,0,0,0,0,16.7,16.7,66.7,0,200,0,200,-999,-999,-999,-999,-999,-999,1,6,20230630,2671750,1255350
1431765,61,13.1,6.6,1.6,1.6,42.6,18,8.2,8.2,26.3,34.2,60.5,33,28,45.9,33,28,45.9,1,61,20230630,2671750,1257150
1442520,34,0,11.8,11.8,5.9,5.9,58.8,0,5.9,8.3,33.3,41.7,14,20,58.8,29,5,14.7,1,34,20230630,2671850,1257250
1443648,23,0,17.4,8.7,21.7,0,52.2,0,0,0,35.3,35.3,13,10,43.5,-999,-999,-999,1,23,20230630,2671950,1257450
1427316,47,6.4,12.8,2.1,2.1,27.7,29.8,4.3,14.9,32.1,35.7,67.9,26,21,44.7,27,20,42.6,1,47,20230630,2672150,1250250
1443554,240,8.3,12.9,5,6.3,32.9,22.1,12.1,0.4,20.4,42.9,63.3,120,120,50,93,147,61.3,1,240,20230630,2672050,1251350
1440040,265,7.9,14.7,4.2,4.9,34.3,21.5,9.4,3,20.5,44.1,64.6,137,128,48.3,83,182,68.7,1,265,20230630,2672150,1251250
1427822,25,0,8,0,8,28,24,32,0,53.3,13.3,66.7,14,11,44,18,7,28,1,25,20230630,2672050,1251550
1433471,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2672250,1252550
1417531,57,7,3.5,0,0,29.8,35.1,17.5,7,37.8,16.2,54.1,31,26,45.6,39,18,31.6,1,57,20230630,2672050,1253450
1423703,29,10.3,6.9,3.4,3.4,27.6,31,17.2,0,27.8,33.3,61.1,15,14,48.3,23,6,20.7,1,29,20230630,2672150,1253450
1435983,20,20,5,10,0,30,25,10,0,18.2,63.6,81.8,12,8,40,16,4,20,1,20,20230630,2672150,1253950
1445032,11,18.2,0,0,0,18.2,18.2,27.3,18.2,125,50,175,6,5,45.5,-999,-999,-999,1,11,20230630,2672250,1257150
1438407,5,0,0,0,20,40,40,0,0,0,0,0,-999,-999,-999,-999,-999,-999,1,5,20230630,2672050,1260550
1440348,83,9.6,9.6,2.4,4.8,28.9,15.7,20.5,8.4,58.5,43.9,102.4,35,48,57.8,62,21,25.3,1,83,20230630,2672450,1249950
1443740,52,1.9,5.8,1.9,9.6,28.8,36.5,9.6,5.8,20.5,12.8,33.3,32,20,38.5,31,21,40.4,1,52,20230630,2672350,1250650
1431395,66,1.5,6.1,6.1,7.6,42.4,27.3,9.1,0,11.8,17.6,29.4,38,28,42.4,38,28,42.4,1,66,20230630,2672350,1251150
1435509,144,4.9,9.7,3.5,7.6,29.9,29.9,9.7,4.9,21.6,26.8,48.5,73,71,49.3,75,69,47.9,1,144,20230630,2672350,1251350
1421643,146,1.4,6.2,2.7,7.5,32.9,37,8.2,4.1,15.9,13.3,29.2,85,61,41.8,59,87,59.6,1,146,20230630,2672450,1251350
1429160,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2672450,1252250
1432780,11,0,0,18.2,9.1,36.4,9.1,0,27.3,50,33.3,83.3,7,4,36.4,-999,-999,-999,1,11,20230630,2672450,1258250
1431725,4,0,0,0,0,25,0,75,0,300,0,300,-999,-999,-999,-999,-999,-999,1,4,20230630,2672750,1236950
1446521,44,0,13.6,6.8,4.5,22.7,38.6,11.4,2.3,20.7,31,51.7,22,22,50,33,11,25,1,44,20230630,2672550,1250050
1439368,79,12.7,5.1,1.3,2.5,30.4,32.9,15.2,0,23.1,28.8,51.9,39,40,50.6,57,22,27.8,1,79,20230630,2672650,1250050
1419434,8,25,25,0,0,25,25,0,0,0,100,100,4,4,50,-999,-999,-999,1,8,20230630,2672750,1249950
1422743,37,8.1,16.2,0,2.7,32.4,16.2,18.9,5.4,47.4,47.4,94.7,22,15,40.5,29,8,21.6,1,37,20230630,2672550,1250150
1431430,11,0,9.1,0,9.1,36.4,27.3,18.2,0,25,12.5,37.5,5,6,54.5,-999,-999,-999,1,11,20230630,2672550,1250350
1437431,8,0,0,0,0,25,12.5,50,12.5,166.7,0,166.7,-999,-999,-999,-999,-999,-999,1,8,20230630,2672650,1250750
1440131,57,3.5,5.3,5.3,3.5,21.1,35.1,15.8,10.5,44.1,23.5,67.6,27,30,52.6,39,18,31.6,1,57,20230630,2672750,1253050
1425480,51,7.8,13.7,3.9,2,25.5,33.3,11.8,2,22.6,41.9,64.5,29,22,43.1,37,14,27.5,1,51,20230630,2672750,1255650
1437784,5,0,0,0,0,20,40,0,40,66.7,0,66.7,-999,-999,-999,-999,-999,-999,1,5,20230630,2672550,1256750
